scientific_name,Bryce National Park,Great Smoky Mountains National Park,Yellowstone National Park,Yosemite National Park
Lasiurus borealis,121,127,296,134
Lasiurus cinereus,187,144,493,265
Lasthenia californica,88,109,243,137
Lasthenia platycarpha,87,71,254,150
Lathyrus jepsonii var. californicus,103,63,235,128
Lathyrus lanszwertii var. aridus,88,95,214,128
Lathyrus lanszwertii var. lanszwertii,122,91,210,142
Lathyrus latifolius,247,92,520,340
Lathyrus sulphureus,99,95,254,101
Lathyrus venosus var. intonsus,142,34,243,165
Layia pentachaeta ssp. pentachaeta,104,69,234,141
Lechea racemulosa,92,56,249,119
Ledum glandulosum,143,69,217,121
Leersia hexandra,119,49,247,172
Leersia oryzoides,77,94,266,132
Leersia virginica,93,61,256,185
Leiophyllum buxifolium,104,91,265,143
Lemmiscus curtatus,65,52,253,158
Lemna gibba,178,201,476,349
Lemna minuta,66,81,229,152
Lemna trisulca,94,55,274,96
Lemna turionifera,116,53,222,193
Lemna valdiviana,224,167,485,318
Leonurus cardiaca,77,92,209,192
Lepechinia calycina,120,65,257,161
Lepidium campestre,202,191,503,294
Lepidium densiflorum,105,85,240,101
Lepidium densiflorum var. densiflorum,105,56,227,168
Lepidium densiflorum var. macrocarpum,119,48,258,155
Lepidium densiflorum var. pubecarpum,139,72,247,154
Lepidium perfoliatum,145,46,261,150
Lepidium ramosissimum,91,86,235,182
Lepidium ramosissimum var. bourgeauanum,91,88,240,128
Lepidium sativum,90,76,268,109
Lepidium virginicum,127,91,245,166
Lepidium virginicum var. pubescens,124,89,232,137
Lepidium virginicum var. virginicum,92,54,250,150
Lepisosteus osseus,120,79,269,137
Lepomis auritus,103,77,266,127
Lepomis cyanellus,119,62,270,123
Lepomis gibbosus,95,133,235,171
Lepomis gulosus,98,83,210,165
Lepomis humilis,109,93,222,133
Lepomis macrochirus,128,60,265,168
Lepomis megalotis,119,67,270,182
Lepomis microlophus,86,53,255,156
Leptobryum pyriforme,130,57,234,196
Leptochloa panicea ssp. brachiata,91,59,267,153
Leptodactylon pungens,92,80,247,152
Leptodictyum riparium,112,71,224,172
Leptodontium excelsum,128,43,237,130
Leptodontium flexifolium,71,102,253,171
Leptohymenium sharpii,123,44,217,137
Lepus americanus,108,62,278,137
Lepus americanus tahoensis,75,70,233,117
Lepus townsendii,110,80,210,152
Lepus townsendii townsendii,60,84,255,123
Leskea gracilescens,94,57,249,161
Leskea obscura,113,94,240,162
Leskeella nervosa,76,60,228,126
Lespedeza X nuttallii,36,81,270,130
Lespedeza bicolor,67,62,254,121
Lespedeza capitata,81,87,226,147
Lespedeza cuneata,71,48,256,144
Lespedeza frutescens,104,100,263,141
Lespedeza hirta,106,89,268,141
Lespedeza intermedia,98,97,226,135
Lespedeza procumbens,82,59,233,147
Lespedeza repens,110,71,274,135
Lespedeza stuevei,122,77,235,162
Lespedeza violacea,133,146,251,128
Lespedeza virginica,98,70,232,146
Lesquerella alpina var. alpina,92,40,223,157
Lessingia leptoclada,109,94,217,162
Leucanthemum vulgare,207,143,504,246
Leucobryum albidum,101,65,259,193
Leucobryum glaucum,89,88,248,139
Leucodon brachypus,90,75,279,168
Leucodon brachypus var. andrewsianus,122,61,233,165
Leucodon julaceus,102,101,216,180
Leucopoa kingii,102,60,249,154
Leucosticte atrata,142,56,222,158
Leucosticte tephrocotis,170,81,530,341
Leucothoe davisiae,84,93,277,166
Leucothoe fontanesiana,145,65,233,151
Leucothoe recurva,123,72,257,153
Lewisia congdonii,103,105,277,138
Lewisia disepala,66,40,265,119
Lewisia glandulosa,75,67,248,97
Lewisia kelloggii,130,76,229,136
Lewisia nevadensis,82,43,268,128
Lewisia pygmaea,82,100,236,124
Lewisia rediviva var. rediviva,100,38,252,134
Lewisia triphylla,104,76,271,150
Leymus triticoides,119,94,243,169
Liatris aspera,111,101,220,166
Liatris scariosa,114,33,243,120
Liatris spicata,114,53,244,125
Liatris squarrosa,93,67,271,176
Liatris squarrulosa,143,69,209,188
Ligusticum canadense,93,94,292,158
Ligusticum canbyi,56,90,249,164
Ligusticum filicinum,51,54,236,150
Ligusticum grayi,79,98,274,114
Ligustrum sinense,100,34,243,146
Ligustrum vulgare,106,99,250,144
Lilaea scilloides,115,82,218,135
Lilium canadense ssp. editorum,125,54,257,152
Lilium grayi,71,89,225,130
Lilium lancifolium,118,71,261,133
Lilium michauxii,69,73,261,125
Lilium parvum,136,89,240,144
Lilium philadelphicum,98,93,253,162
Lilium superbum,94,63,237,144
Lilium washingtonianum ssp. washingtonianum,125,84,231,181
Limnanthes alba ssp. alba,121,94,218,149
Limnanthes alba ssp. versicolor,108,84,246,143
Limnanthes montana,122,106,207,152
Limnanthes striata,98,49,268,171
Limnodromus griseus,81,81,291,125
Limnodromus scolopaceus,85,39,217,147
Limnothlypis swainsonii,109,56,234,140
Limosa fedoa,96,82,266,131
Limosa haemastica,75,77,235,125
Limosella acaulis,98,83,228,128
Limosella aquatica,85,112,251,133
Linanthus bicolor,114,37,261,162
Linanthus ciliatus,81,100,237,145
Linanthus dichotomus,109,82,268,127
Linanthus filipes,98,74,264,146
Linanthus harknessii,48,89,256,162
Linanthus montanus,101,79,236,139
Linanthus nuttallii ssp. pubescens,60,46,275,126
Linaria dalmatica,110,71,274,168
Linaria vulgaris,126,200,456,283
Lindera benzoin,104,69,264,126
Lindernia dubia,217,141,483,339
Lindernia dubia var. anagallidea,244,183,473,327
Lindernia dubia var. dubia,82,99,243,165
Linnaea borealis,77,95,245,93
Linnaea borealis var. longiflora,96,96,240,176
Linum intercursum,120,85,250,126
Linum lewisii var. alpicola,82,99,276,166
Linum lewisii var. lewisii,120,68,275,114
Linum medium var. texanum,93,91,252,155
Linum striatum,84,88,289,133
Linum virginianum,57,83,242,133
Liparis liliifolia,110,49,265,185
Liparis loeselii,112,68,249,157
Lipocarpha micrantha,95,66,242,222
Lipocarpha occidentalis,80,50,277,142
Liquidambar styraciflua,112,84,267,131
Liriodendron tulipifera,103,75,226,148
Liriope spicatum,115,58,241,143
Listera borealis,80,94,282,149
Listera caurina,81,70,223,125
Listera convallarioides,104,102,221,182
Listera cordata,77,90,251,171
Listera smallii,135,71,279,147
Lithobates catesbeianus,84,66,267,136
Lithocarpus densiflorus var. echinoides,96,40,259,170
Lithophragma affine,106,69,254,155
Lithophragma bolanderi,80,84,231,169
Lithophragma glabrum,93,108,262,142
Lithophragma heterophyllum,73,60,273,162
Lithophragma parviflorum,77,87,235,119
Lithophragma tenellum,62,83,246,132
Lithospermum arvense,78,98,244,143
Lithospermum canescens,70,73,273,158
Lithospermum incisum,102,65,260,145
Lithospermum ruderale,87,39,231,167
Lloydia serotina,75,90,277,171
Lobelia amoena,93,68,262,119
Lobelia cardinalis,117,83,265,144
Lobelia inflata,102,48,245,131
Lobelia puberula,77,101,205,125
Lobelia siphilitica,85,74,244,141
Lobelia spicata var. leptostachys,94,98,253,165
Loeskeobryum brevirostre,87,69,240,126
Logfia arvensis,121,74,243,154
Lolium arundinaceum,92,88,247,146
Lolium multiflorum,126,111,264,127
Lolium perenne,248,166,505,292
Lolium perenne ssp. multiflorum,73,95,224,152
Lolium perenne ssp. perenne,104,92,242,150
Lolium pratense,116,73,220,143
Lolium temulentum,85,73,242,149
Lomatium ambiguum,108,98,256,161
Lomatium congdonii,92,70,217,148
Lomatium cous,98,78,250,122
Lomatium dissectum var. dissectum,83,87,236,117
Lomatium dissectum var. multifidum,107,67,244,123
Lomatium macrocarpum,112,69,247,134
Lomatium nevadense var. parishii,118,57,217,158
Lomatium torreyi,130,61,265,135
Lomatium utriculatum,120,69,259,124
Lonicera caerulea,94,68,260,127
Lonicera canadensis,79,71,269,123
Lonicera conjugialis,119,56,272,90
Lonicera flava,88,106,268,168
Lonicera fragrantissima,93,62,262,129
Lonicera interrupta,95,101,283,146
Lonicera involucrata,95,79,280,129
Lonicera involucrata var. involucrata,104,73,245,184
Lonicera japonica,103,107,298,168
Lonicera korolkowii,100,52,250,129
Lonicera maackii,118,79,266,169
Lonicera morrowii,140,43,241,127
Lonicera sempervirens,100,82,228,120
Lonicera standishii,90,79,226,173
Lonicera tatarica,109,80,247,127
Lonicera utahensis,98,54,254,160
Lontra canadensis,99,69,219,175
Lophocolea appalachiana,81,91,222,129
Lophocolea muricata,78,35,293,189
Lophodytes cucullatus,126,77,261,165
Lotus argophyllus var. fremontii,84,64,255,149
Lotus corniculatus,99,70,299,148
Lotus crassifolius var. crassifolius,90,77,286,171
Lotus humistratus,118,69,228,180
Lotus micranthus,64,87,234,150
Lotus nevadensis var. nevadensis,68,107,258,115
Lotus oblongifolius var. oblongifolius,95,75,260,129
Lotus scoparius var. scoparius,83,110,244,154
Lotus strigosus,96,117,256,118
Lotus wrangelianus,99,100,219,160
Loxia curvirostra,101,47,209,142
Loxia leucoptera,107,54,245,145
Ludwigia alternifolia,67,98,248,187
Ludwigia decurrens,87,79,202,142
Ludwigia grandiflora,80,78,229,152
Ludwigia palustris,159,168,570,312
Ludwigia peploides ssp. glabrescens,103,61,294,138
Ludwigia uruguayensis,49,51,234,156
Lunaria annua,189,160,460,276
Lupinus adsurgens,127,72,253,178
Lupinus albicaulis,109,65,246,175
Lupinus albifrons var. albifrons,143,69,261,124
Lupinus andersonii,111,44,257,168
Lupinus arbustus,98,84,240,166
Lupinus argenteus var. argenteus,58,95,271,126
Lupinus argenteus var. laxiflorus,93,109,226,159
Lupinus argenteus var. meionanthus,73,106,236,122
Lupinus benthamii,81,59,235,155
Lupinus bicolor,107,59,274,136
Lupinus breweri var. breweri,101,32,261,107
Lupinus breweri var. bryoides,81,76,286,155
Lupinus breweri var. grandiflorus,115,62,237,157
Lupinus covillei,106,82,282,131
Lupinus formosus var. formosus,94,67,258,161
Lupinus fulcratus,102,71,253,143
Lupinus gracilentus,108,45,274,166
Lupinus grayi,76,58,255,159
Lupinus latifolius,129,71,261,152
Lupinus nanus,128,24,215,168
Lupinus pratensis var. pratensis,125,91,232,144
Lupinus rivularis,100,61,304,145
Lupinus sericeus,134,44,244,117
Lupinus stiversii,91,93,265,173
Lutra canadensis,218,127,458,380
Luxilus chrysocephalus,103,55,237,116
Luxilus coccogenis,123,35,254,176
Luxilus cornutus,100,77,245,138
Luzula acuminata,106,75,255,145
Luzula acuminata var. acuminata,65,77,268,179
Luzula acuminata var. carolinae,105,67,210,163
Luzula bulbosa,82,64,258,147
Luzula comosa,110,73,244,147
Luzula divaricata,105,72,239,141
Luzula echinata,136,51,239,137
Luzula glabrata var. hitchcockii,143,25,240,138
Luzula multiflora,192,149,496,323
Luzula orestera,83,53,240,142
Luzula parviflora,118,82,249,152
Luzula spicata,124,93,274,135
Luzula subcongesta,93,92,252,121
Lychnis coronaria,90,87,260,163
Lycium barbarum,108,96,256,131
Lycopersicon esculentum,91,59,223,140
Lycopodiella inundata,104,86,265,126
Lycopodium annotinum,159,102,503,300
Lycopodium clavatum,90,50,238,155
Lycopodium complanatum,86,83,230,130
Lycopodium dendroideum,86,68,246,173
Lycopodium digitatum,87,114,248,129
Lycopodium hickeyi,72,97,254,144
Lycopodium obscurum,102,64,236,174
Lycopodium tristachyum,122,90,321,196
Lycopus X sherardii,83,48,213,142
Lycopus americanus,197,199,435,323
Lycopus asper,101,51,283,152
Lycopus rubellus,65,65,238,127
Lycopus uniflorus,187,136,542,233
Lycopus virginicus,114,82,234,187
Lycoris radiata,103,67,245,125
Lygodium palmatum,96,77,244,169
Lynx canadensis,124,59,271,173
Lynx rufus,62,30,259,157
Lyonia ligustrina,117,113,285,126
Lysichiton americanus,86,62,282,130
Lysimachia ciliata,80,66,239,141
Lysimachia fraseri,86,80,238,142
Lysimachia hybrida,101,93,246,158
Lysimachia lanceolata,133,74,251,132
Lysimachia nummularia,71,54,263,140
Lysimachia quadrifolia,119,50,285,168
Lysimachia terrestris,89,75,220,152
Lysimachia thyrsiflora,88,53,228,151
Lysimachia tonsa,114,84,239,110
Lythrum hyssopifolia,93,108,241,149
Lythrurus lirus,86,90,193,137
Machaeranthera canescens var. canescens,97,97,254,131
Maclura pomifera,88,73,226,131
Macrocoma sullivantii,131,65,228,147
Madia bolanderi,114,119,268,152
Madia elegans ssp. elegans,77,82,224,141
Madia elegans ssp. vernalis,74,88,234,165
Madia exigua,121,121,226,142
Madia glomerata,91,82,257,137
Madia gracilis,109,41,279,170
Madia minima,111,38,243,170
Madia yosemitana,117,81,234,162
Magnolia acuminata,105,76,246,150
Magnolia fraseri,112,55,227,161
Magnolia grandiflora,107,86,258,152
Magnolia macrophylla,93,114,237,156
Magnolia tripetala,111,92,258,166
Mahonia bealei,78,99,237,163
Mahonia repens,73,51,264,188
Maianthemum canadense,109,94,266,161
Maianthemum racemosum ssp. racemosum,76,71,256,186
Maianthemum stellatum,129,77,286,157
Malacothrix floccifera,107,66,259,147
Malaxis unifolia,90,56,259,146
Malus angustifolia,97,71,239,133
Malus coronaria,102,75,221,143
Malus pumila,174,154,496,257
Malva moschata,84,14,275,170
Malva neglecta,216,143,491,281
Malva nicaeensis,120,60,269,150
Malva parviflora,83,81,270,140
Malva pusilla,106,66,297,152
Malva sylvestris,109,71,247,141
Manfreda virginica,99,61,186,109
Marah fabaceus,109,75,276,133
Marah horridus,81,71,229,129
Marah watsonii,135,76,274,130
Marmota flaviventris,81,58,205,143
Marmota monax,76,80,261,164
Marrubium vulgare,245,137,505,322
Marsilea vestita ssp. vestita,88,84,262,141
Martes americana,261,119,480,316
Martes pennanti,75,68,268,153
Masticophis lateralis lateralis,78,75,288,174
Matelea gonocarpos,93,76,237,155
Matelea obliqua,95,91,265,118
Matricaria discoidea,69,87,232,108
Matricaria matricarioides,69,68,272,146
Mazus miquelii,94,28,270,148
Mazus pumilus,94,60,265,161
Medeola virginiana,106,66,247,175
Medicago lupulina,232,174,473,283
Medicago polymorpha,124,68,240,125
Medicago sativa,74,87,269,134
Megaceryle alcyon,102,70,260,159
Megascops asio,192,141,516,306
Megascops kennicottii,96,70,251,161
Melampyrum lineare,115,87,246,126
Melanerpes carolinus,105,78,247,117
Melanerpes erythrocephalus,131,84,244,196
Melanerpes formicivorus,100,89,246,118
Melanerpes lewis,182,147,518,289
Melanitta deglandi,99,115,264,132
Melanitta fusca,108,114,246,145
Melanitta nigra,147,80,291,152
Melanitta perspicillata,132,76,290,191
Melanthium latifolium,40,86,216,167
Melanthium parviflorum,113,65,281,118
Meleagris gallopavo,127,44,246,162
Melica aristata,106,101,246,158
Melica bulbosa,75,102,266,126
Melica californica,125,77,230,121
Melica harfordii,119,64,220,140
Melica imperfecta,80,80,257,126
Melica mutica,102,73,267,135
Melica spectabilis,89,39,250,144
Melica stricta,98,76,227,146
Melica subulata,124,70,258,129
Melilotus alba,99,66,250,136
Melilotus albus,142,168,513,239
Melilotus indica,173,68,247,148
Melilotus officinalis,216,156,477,319
Melissa officinalis,99,99,252,160
Melospiza georgiana,95,40,284,134
Melospiza lincolnii,80,63,207,164
Melospiza melodia,96,86,235,144
Melothria pendula,97,54,239,171
Melozone crissalis,135,73,279,144
Menispermum canadense,119,93,254,157
Mentha X gracilis,101,57,263,140
Mentha X piperita,122,82,250,149
Mentha arvensis,247,134,456,278
Mentha spicata,121,95,281,152
Mentha suaveolens,122,57,249,164
Mentzelia albicaulis,96,105,244,121
Mentzelia crocea,56,59,234,155
Mentzelia decapetala,70,58,233,131
Mentzelia dispersa,147,67,273,127
Mentzelia laevicaulis var. laevicaulis,130,83,262,123
Mentzelia lindleyi,118,99,259,111
Mentzelia montana,101,67,280,173
Menyanthes trifoliata,99,62,287,143
Menziesia pilosa,116,81,224,140
Mephitis mephitis,113,63,257,141
Mergus merganser,90,94,249,145
Mergus serrator,91,64,284,144
Mertensia alpina,110,87,230,106
Mertensia ciliata,117,68,252,129
Mertensia ciliata var. ciliata,96,67,232,140
Mertensia oblongifolia,107,99,265,156
Mertensia virginica,135,69,213,171
Micropterus dolomieu,69,112,259,117
Micropterus punctulatus,95,108,256,145
Micropterus salmoides,100,100,240,181
Micropus californicus var. californicus,81,87,251,183
Microseris nutans,97,79,270,155
Microstegium vimineum,87,69,257,148
Microsteris gracilis var. humilior,107,61,222,129
Microthlaspi perfoliatum,106,66,256,127
Microtus californicus,105,71,273,165
Microtus chrotorrhinus,123,28,258,158
Microtus longicaudus,214,212,462,247
Microtus montanus,119,84,226,158
Microtus pennsylvanicus,93,70,195,156
Microtus pinetorum,108,94,248,159
Microtus richardsoni,88,39,262,107
Mielichhoferia mielichhoferiana,129,45,234,150
Milium effusum,67,71,265,142
Mimosa microphylla,70,85,245,168
Mimosa quadrivalvis var. angustata,117,83,244,156
Mimulus alatus,79,17,236,183
Mimulus angustatus,95,52,227,146
Mimulus bicolor,78,68,226,136
Mimulus bolanderi,82,40,230,140
Mimulus breweri,135,64,242,113
Mimulus cardinalis,83,80,226,152
Mimulus congdonii,134,77,257,131
Mimulus douglasii,85,99,255,151
Mimulus filicaulis,87,61,197,119
Mimulus floribundus,84,102,252,176
Mimulus guttatus,72,44,238,148
Mimulus inconspicuus,103,69,236,124
Mimulus kelloggii,109,78,240,143
Mimulus laciniatus,87,63,239,165
Mimulus layneae,68,77,224,148
Mimulus leptaleus,105,113,201,168
Mimulus lewisii,82,94,244,163
Mimulus mephiticus,71,109,237,147
Mimulus montioides,106,92,276,135
Mimulus moschatus,118,73,252,139
Mimulus nanus,132,85,272,169
Mimulus palmeri,74,64,233,179
Mimulus patulus,100,26,236,119
Mimulus pilosus,142,58,250,107
Mimulus primuloides,109,66,226,146
Mimulus pulchellus,103,69,240,161
Mimulus pulsiferae,124,57,226,129
Mimulus ringens,97,98,269,168
Mimulus rubellus,137,102,230,164
Mimulus suksdorfii,88,51,295,119
Mimulus tilingii,128,37,250,178
Mimulus torreyi,102,90,250,128
Mimulus viscidus,85,97,249,192
Mimus polyglottos,209,200,517,292
Minuartia austromontana,99,106,268,149
Minuartia californica,102,84,222,143
Minuartia douglasii,109,96,247,140
Minuartia nuttallii,130,93,228,125
Minuartia nuttallii ssp. gracilis,123,69,239,143
Minuartia obtusiloba,91,56,286,196
Minuartia pusilla,101,107,256,147
Minuartia rubella,93,86,248,153
Minuartia stricta,66,106,232,135
Mirabilis jalapa,99,64,253,140
Mirabilis linearis,92,76,265,139
Miscanthus sinensis,94,72,257,133
Mitchella repens,46,71,246,122
Mitella breweri,118,95,213,158
Mitella diphylla,82,77,249,157
Mitella pentandra,88,69,233,169
Mitella stauropetala,114,105,231,154
Mniotilta varia,112,95,230,166
Mnium carolinianum,66,74,291,113
Mnium hornum,64,70,252,134
Mnium marginatum,93,100,265,138
Mnium stellare,147,77,275,147
Mnium thomsonii,113,94,237,139
Moehringia lateriflora,124,53,262,139
Mollugo verticillata,171,133,452,279
Molothrus ater,91,57,262,133
Monarda clinopodia,92,90,253,123
Monarda didyma,78,82,265,129
Monarda fistulosa,87,69,228,163
Monarda fistulosa var. menthifolia,55,110,259,131
Monarda media,89,69,260,138
Monarda punctata,108,79,277,178
Monardella glauca,122,65,262,151
Monardella lanceolata,134,80,249,126
Monardella odoratissima ssp. pallida,108,64,252,147
Monardella sheltonii,89,120,261,139
Moneses uniflora,99,105,286,161
Monolepis nuttalliana,110,116,252,151
Monolepis spathulata,89,48,280,167
Monolopia major,65,101,240,130
Monotropa hypopithys,230,146,485,277
Monotropa uniflora,98,63,181,129
Monotropsis odorata,75,55,218,104
Monroa squarrosa,135,23,251,130
Montia chamissoi,109,86,226,140
Montia fontana,138,59,244,146
Montia linearis,99,66,252,167
Montia parvifolia,93,92,298,169
Morone chrysops,124,110,230,111
Morus alba,106,49,231,161
Morus rubra,76,47,266,159
Moxostoma carinatum,127,79,224,156
Moxostoma duquesnei,112,65,280,154
Moxostoma erythrurum,84,73,246,185
Moxostoma macrolepidotum,81,74,262,146
Muhlenbergia andina,91,75,235,132
Muhlenbergia asperifolia,112,101,247,130
Muhlenbergia capillaris,113,106,280,171
Muhlenbergia filiformis,97,101,268,136
Muhlenbergia frondosa,88,69,235,171
Muhlenbergia glomerata,93,91,245,166
Muhlenbergia mexicana,97,54,272,149
Muhlenbergia minutissima,110,78,234,143
Muhlenbergia montana,99,76,257,139
Muhlenbergia richardsonis,88,62,257,141
Muhlenbergia rigens,106,87,239,165
Muhlenbergia schreberi,203,156,537,271
Muhlenbergia sylvatica,90,57,235,129
Muhlenbergia tenuiflora,103,88,219,160
Murdannia keisak,90,103,270,174
Mus musculus,101,69,262,144
Muscari botryoides,84,85,245,96
Muscari comosum,102,97,264,137
Musineon divaricatum,76,83,223,150
Mustela,94,82,234,130
Mustela erminea,242,161,497,303
Mustela frenata,109,77,252,123
Mustela nivalis,96,75,209,155
Mustela vison,177,132,473,322
Myadestes townsendi,125,61,217,148
Mycteria americana,107,54,226,175
Myiarchus cinerascens,135,54,260,137
Myiarchus crinitus,71,91,298,149
Myioborus pictus,137,82,269,146
Mylopharodon conocephalus,113,71,239,176
Myosotis laxa,84,81,245,134
Myosotis macrosperma,108,60,245,141
Myosotis scorpioides,106,97,236,149
Myosotis stricta,89,53,244,162
Myosotis verna,97,84,233,169
Myosurus apetalus var. borealis,127,21,268,178
Myosurus apetalus var. montanus,109,81,286,137
Myotis austroriparius,152,60,240,116
Myotis californicus,237,159,430,281
Myotis ciliolabrum,201,158,508,258
Myotis evotis,82,46,245,151
Myotis grisescens,27,26,68,39
Myotis keenii,86,29,227,144
Myotis leibii,84,49,233,132
Myotis lucifugus,298,174,679,396
Myotis septentrionalis,52,34,143,73
Myotis sodalis,27,14,68,36
Myotis thysanodes,109,75,215,116
Myotis volans,91,63,238,145
Myotis yumanensis,86,83,200,169
Myrica hartwegii,101,121,236,146
Myriophyllum aquaticum,136,72,281,99
Myriophyllum quitense,68,98,262,162
Myriophyllum sibiricum,105,76,296,176
Myriophyllum spicatum,100,80,205,117
Myriophyllum verticillatum,119,80,222,151
Myurella sibirica,98,67,224,133
Najas flexilis,109,83,195,127
Najas guadalupensis,121,54,275,111
Najas minor,135,67,254,146
Nandina domestica,108,59,220,179
Napaeozapus insignis,130,74,252,120
Narcissus poeticus,133,92,231,161
Narcissus pseudonarcissus,100,62,211,147
Narthecium californicum,110,55,228,176
Nassella viridula,70,127,270,153
Nasturtium officinale,84,78,213,156
Navarretia divaricata ssp. divaricata,95,131,224,164
Navarretia divaricata ssp. vividior,67,110,217,143
Navarretia intertexta ssp. intertexta,95,56,291,194
Navarretia viscidula,115,66,263,143
Neckera complanata,96,84,270,174
Neckera pennata,115,69,268,132
Necturus maculosus maculosus,89,93,250,165
Nemacladus capillaris,105,63,220,180
Nemacladus interior,100,78,230,181
Nemophila aphylla,82,71,225,162
Nemophila breviflora,45,94,291,151
Nemophila heterophylla,98,91,231,121
Nemophila maculata,111,83,231,176
Nemophila menziesii var. menziesii,105,49,216,169
Nemophila parviflora var. austiniae,113,54,260,151
Nemophila pedunculata,85,100,234,164
Nemophila spatulata,126,69,250,143
Neotamias amoenus,115,64,293,171
Neotamias minimus,102,69,262,148
Neotamias umbrinus,101,89,285,148
Neotoma cinerea,126,75,234,149
Neotoma floridana,114,78,256,117
Neotoma macrotis,86,90,226,133
Neotoma macrotis streatori,91,77,268,123
Neotoma magister,96,105,231,127
Neovison vison,91,77,218,200
Nepeta cataria,236,139,474,387
Nerodia erythrogaster,88,99,222,105
Nerodia erythrogaster flavigaster,114,74,262,136
Nerodia sipedon sipedon,103,99,258,160
Nicandra physalodes,69,80,271,144
Nicotiana acuminata var. multiflora,94,92,237,160
Nicotiana attenuata,158,73,252,171
Noccaea montana,88,94,237,167
Nocomis micropogon,74,96,231,170
Nothocalais nigrescens,94,74,259,181
Nothocalais troximoides,108,66,264,170
Nothoscordum bivalve,117,69,256,156
Notophthalmus viridescens viridescens,108,63,291,154
Notothylas orbicularis,113,61,229,123
Notropis atherinoides,114,62,247,162
Notropis baileyi,129,112,230,199
Notropis leuciodus,129,58,241,112
Notropis photogenis,154,68,294,126
Notropis rubellus,97,74,236,151
Notropis rubricroceus,106,131,264,163
Notropis spectrunculus,83,59,256,112
Notropis telescopus,104,106,225,160
Notropis volucellus,69,63,249,166
Noturus baileyi,22,23,67,31
Noturus flavipinnis,55,36,126,72
Noturus flavus,72,62,245,165
Nucifraga columbiana,117,89,240,155
Numenius americanus,110,56,251,158
Nuphar lutea ssp. advena,85,55,254,159
Nuphar lutea ssp. polysepala,93,72,273,171
Nuphar polysepala,96,58,249,161
Nuttallanthus canadensis,103,56,277,158
Nyctanassa violacea,160,100,269,148
Nycticeius humeralis,110,84,219,149
Nycticorax nycticorax,181,129,439,269
Nymphaea odorata,118,95,229,137
Nyssa sylvatica,60,92,264,158
Obolaria virginica,107,95,229,144
Oceanodroma castro,86,58,253,141
Ochotona princeps,194,169,460,328
Ochrotomys nuttalli,57,59,267,161
Oclemena acuminata,78,74,243,162
Odocoileus hemionus,72,71,257,143
Odocoileus virginianus,183,109,484,285
Oenothera biennis,75,65,249,152
Oenothera elata ssp. hirsutissima,61,69,244,160
Oenothera fruticosa ssp. fruticosa,89,47,254,151
Oenothera fruticosa ssp. glauca,73,93,244,149
Oenothera laciniata,85,47,249,141
Oenothera linifolia,82,66,224,174
Oenothera speciosa,64,48,247,184
Oenothera triloba,119,101,258,152
Oligoneuron rigidum var. rigidum,144,62,231,138
Oncophorus raui,80,76,238,126
Oncophorus wahlenbergii,132,64,234,150
Oncorhynchus clarki behnkei,87,65,256,192
Oncorhynchus clarkii bouvieri,114,66,279,140
Oncorhynchus clarkii henshawi,57,48,111,85
Oncorhynchus clarkii lewisi,65,69,240,140
Oncorhynchus mykiss,164,100,372,177
Oncorhynchus mykiss aguabonita,90,67,254,166
Ondatra zibethicus,113,125,508,297
Onobrychis viciifolia,99,78,261,141
Onoclea sensibilis,82,75,248,130
Onopordum acanthium,99,76,238,161
Opheodrys aestivus aestivus,100,69,266,161
Ophioglossum pusillum,123,64,234,142
Ophioglossum vulgatum,160,36,258,159
Ophisaurus attenuatus longicaudus,87,73,258,152
Oporornis agilis,75,92,272,131
Oporornis formosus,108,71,278,163
Oporornis philadelphia,50,90,217,173
Opuntia fragilis,66,57,277,168
Opuntia humifusa,64,68,248,154
Opuntia polyacantha var. polyacantha,70,83,280,139
Orbexilum onobrychis,111,67,265,131
Orbexilum pedunculatum,82,90,233,148
Orbexilum pedunculatum var. pedunculatum,60,94,202,147
Orbexilum pedunculatum var. psoralioides,112,49,232,165
Oreamnos americanus,116,68,231,137
Oreortyx pictus,126,74,242,150
Oreoscoptes montanus,107,38,202,127
Oreostemma alpigenum var. haydenii,87,92,284,120
Oreothlypis celata,75,82,259,145
Oreothlypis peregrina,71,81,250,164
Oreothlypis ruficapilla,111,42,243,129
Oreothlypis virginiae,84,74,226,134
Ornithogalum umbellatum,81,71,276,155
Orobanche californica ssp. grayana,93,74,260,153
Orobanche corymbosa,123,119,278,142
Orobanche fasciculata,105,79,278,142
Orobanche ludoviciana var. ludoviciana,93,85,236,96
Orobanche uniflora,196,153,498,373
Orogenia linearifolia,98,64,292,148
Orthilia secunda,106,72,246,133
Orthocarpus cuspidatus ssp. cryptanthus,102,107,256,159
Orthocarpus luteus,78,47,234,150
Orthodontium pellucens,72,104,238,135
Orthotrichum exiguum,114,67,277,140
Orthotrichum ohioense,81,42,239,168
Orthotrichum stellatum,131,71,222,178
Orthotrichum strangulatum,92,114,260,147
Oryzomys palustris,117,88,266,141
Oryzomys palustris palustris,124,40,242,118
Oryzopsis asperifolia,126,41,231,157
Osmorhiza berteroi,108,87,263,135
Osmorhiza brachypoda,101,100,237,125
Osmorhiza claytonii,67,79,258,162
Osmorhiza depauperata,67,67,236,163
Osmorhiza longistylis,79,87,284,127
Osmorhiza occidentalis,117,70,245,128
Osmunda cinnamomea,121,98,260,162
Osmunda claytoniana,75,73,259,144
